Change,Target,Treatment
0.10734914293230977,hydroxy-HIF,DMSO
-0.2334214905433106,hydroxy-HIF,GDC0980
-0.10496568014622502,hydroxy-HIF,Palbociclib
0.2899693637203314,hydroxy-HIF,(+)-Serum
-0.14868034998988558,hydroxy-HIF,Erlotinib
0.15578248398819558,hydroxy-HIF,(-)-Serum
-0.06603346996141529,hydroxy-HIF,GNE-317
0.13954143794874777,p-Akt_308,DMSO
-0.1823313354076393,p-Akt_308,GDC0980
-0.214861467399078,p-Akt_308,Palbociclib
0.32797861488261226,p-Akt_308,(+)-Serum
-0.011290728367910279,p-Akt_308,Erlotinib
0.12582048329847828,p-Akt_308,(-)-Serum
-0.18485700495521037,p-Akt_308,GNE-317
-0.0925323335157883,p-Akt_473,DMSO
-0.3933141292799512,p-Akt_473,GDC0980
-0.09636921404996643,p-Akt_473,Palbociclib
1.3487828901584393,p-Akt_473,(+)-Serum
-0.1720359075357961,p-Akt_473,Erlotinib
-0.17647421159197774,p-Akt_473,(-)-Serum
-0.4180570941849596,p-Akt_473,GNE-317
0.03677111858586431,p-c-Abl,DMSO
-0.12464555056917004,p-c-Abl,GDC0980
-0.09335931915657515,p-c-Abl,Palbociclib
0.3479569543549333,p-c-Abl,(+)-Serum
-0.008341937161795439,p-c-Abl,Erlotinib
0.08798900649479684,p-c-Abl,(-)-Serum
-0.2463702725480532,p-c-Abl,GNE-317
0.010371164337360397,p-GSK3b,DMSO
-0.25443477366090717,p-GSK3b,GDC0980
-0.12361130201096161,p-GSK3b,Palbociclib
0.13730859047902536,p-GSK3b,(+)-Serum
0.6174031352025285,p-GSK3b,Erlotinib
0.01323698800097218,p-GSK3b,(-)-Serum
-0.4002738023480176,p-GSK3b,GNE-317
0.07402217745083382,p-MAPK,DMSO
-0.0754573733665376,p-MAPK,GDC0980
-0.12902719461559595,p-MAPK,Palbociclib
0.22243867416068103,p-MAPK,(+)-Serum
-0.0526435934794293,p-MAPK,Erlotinib
0.03201619094636164,p-MAPK,(-)-Serum
-0.07134888109631347,p-MAPK,GNE-317
0.013354368949261064,p-mTOR,DMSO
-0.1871373344837006,p-mTOR,GDC0980
-0.16252141313476423,p-mTOR,Palbociclib
0.3058482356704289,p-mTOR,(+)-Serum
0.015109124468084642,p-mTOR,Erlotinib
0.18702366271377951,p-mTOR,(-)-Serum
-0.17167664418308928,p-mTOR,GNE-317
-0.10095972371574809,p-p53,DMSO
-0.08641200195738089,p-p53,GDC0980
-0.16038943905324154,p-p53,Palbociclib
0.2514499853175175,p-p53,(+)-Serum
-0.08255838741015405,p-p53,Erlotinib
0.20187346929671124,p-p53,(-)-Serum
-0.023003902477703665,p-p53,GNE-317
0.021973496690278628,p-70S6k,DMSO
-0.17941981991453526,p-70S6k,GDC0980
-0.07089980619994932,p-70S6k,Palbociclib
0.289619805977283,p-70S6k,(+)-Serum
-0.09214702247714059,p-70S6k,Erlotinib
0.22837972580519428,p-70S6k,(-)-Serum
-0.19750637988113035,p-70S6k,GNE-317
0.060814411568775074,p-PDK1,DMSO
-0.2588442681245219,p-PDK1,GDC0980
-0.11568384650745188,p-PDK1,Palbociclib
0.4013107607606045,p-PDK1,(+)-Serum
-0.05880593382263867,p-PDK1,Erlotinib
0.1243092516456331,p-PDK1,(-)-Serum
-0.15310037552039982,p-PDK1,GNE-317
-0.010547713793007514,p-Rb_780,DMSO
0.07507462412641287,p-Rb_780,GDC0980
-0.48918019103084853,p-Rb_780,Palbociclib
0.11778873090913564,p-Rb_780,(+)-Serum
0.0738140324050918,p-Rb_780,Erlotinib
0.12288126504915964,p-Rb_780,(-)-Serum
0.1101692523340566,p-Rb_780,GNE-317
0.008718335645029095,p-RB_807,DMSO
0.046381488689900524,p-RB_807,GDC0980
-0.32905571196850997,p-RB_807,Palbociclib
0.0580121944892736,p-RB_807,(+)-Serum
0.03202756798059278,p-RB_807,Erlotinib
0.03924123930504635,p-RB_807,(-)-Serum
0.14467488585866775,p-RB_807,GNE-317
-0.07034403104277162,p-S6_235,DMSO
-0.5071176049245703,p-S6_235,GDC0980
-0.026820062929346706,p-S6_235,Palbociclib
1.3443505469515686,p-S6_235,(+)-Serum
-0.3149746903896486,p-S6_235,Erlotinib
0.11943518302092325,p-S6_235,(-)-Serum
-0.5445293406861544,p-S6_235,GNE-317
-0.065149624630288,p-S6_240,DMSO
-0.2652763313422668,p-S6_240,GDC0980
-0.1071295684734788,p-S6_240,Palbociclib
0.985312362611679,p-S6_240,(+)-Serum
-0.24292483736856568,p-S6_240,Erlotinib
0.08463778829696228,p-S6_240,(-)-Serum
-0.389469789094042,p-S6_240,GNE-317
-0.08983152051906908,p-Src,DMSO
-0.21736537490744012,p-Src,GDC0980
-0.08207681296823834,p-Src,Palbociclib
0.43503102305932745,p-Src,(+)-Serum
-0.001088249689016968,p-Src,Erlotinib
0.143834964347419,p-Src,(-)-Serum
-0.1885040293229819,p-Src,GNE-317
